text,style,theme
"АРХИТЕКТУРА В АНТРОПОЛОГИЧЕСКОМ ИЗМЕРЕНИИ

Главная цель статьи — показать, что концепция человека, формирующаяся в определенную культурно-историческую эпоху, выступает конституирующим моментом архитектуры. Образ человека в архитектуре рассмотрен в трех аспектах, названных: антропоморфным (название частей архитектурной постройки по аналогии с частями человеческого тела), антропометрическим (система мер и ее отношение к размерам человеческого тела) и антропологическим (характеристика целостной архитектурной композиции по аналогии с сущностными качествами человека).

С культурологической точки зрения, любое произведение искусства несет в себе «информацию» о породившей его исторической эпохе. Произведения искусства, в том числе и памятники архитектуры, — это тексты культуры, хранящие духовные послания прошлого, а историк культуры — профессиональный переводчик, способный истолковать изменившиеся или утраченные со временем значения и смыслы. Творение рук человеческих производно от картины мира

своих создателей, значит, заранее можно утверждать, что в архитектуре запечатлен образ человека. Вместе с тем широко известен и многократно оговорен тезис о том, что архитектура — искусство абстрактное, если она и повествует о чем-либо, то косвенным путем. Язык архитектуры, «застывшей музыки», язык широких обобщений раскрывается часто как красноречивое безмолвие1. Цель предлагаемой статьи — наметить некоторые ориентиры, помогающие уловить харак-

309

тер присутствия человека в архитектурном художественном образе.

«Человеческий» образ в архитектуре в самом общем виде можно представить в виде трех одновременно разворачивающихся сюжетов. Сюжет первый — антропоморфный — связан с называнием частей архитектурной постройки по аналогии с частями человеческого тела и определением тектонических характеристик архитектуры по аналогии со способностями частей человеческого тела воспринимать нагрузку. Сюжет второй

— антропометрический — обусловлен системой мер и ее отношением к размерам человеческого тела. Сюжет третий

— собственно антропологический, в основе которого характеристика целостной архитектурной композиции по образу и подобию сущностных качества человека.",научный,Культура
"«Затем король упоминает о красивом доме канцлера А. А. Безбородко. Он служил доказательством великолепия его владельца. <...> из числа картин, вновь приобретенных канцлером, Станислав Август отметил две огромные картины Робера...» [1, с. 597]. В этом высказывании С. Горяи-нова в статье «Художественные впечатления короля Станислава Августа Понятов-

ского о своем пребывании в Санкт-Петербурге в 1797 году», казалось бы, содержится просто информация об одном эпизоде из путешествия бывшего польского короля. На самом деле здесь заключено несколько интересных исторических, художественных, искусствоведческих проблем и фактов.

Последний польский король Станислав Август Понятовский (1732-1798),

вынужденный в 1795 г. отречься от престола, который он занимал с 1767-го, и находившийся в Гродно почти на положении пленника, по приглашению императора Павла I прибыл в Петербург, где был с почетом принят, а затем присутствовал на коронации. Будучи любителем литературы и искусства, он посетил в столице многие достойные внимания места. Высказываемые им впечатления записывались и потом вышли в свет отдельным изданием на французском языке. Побывал Станислав Август и в доме Александра Андреевича Безбородко (1746-1799), человека весьма богатого и влиятельного.

Выходец из казачьих старшин в Малороссии, едва вступив на государственную службу, он сделал головокружительную карьеру, сначала чиновничью и военную, потом дипломатическую, став виднейшим деятелем российской внешней политики, одним из самых блистательных вельмож екатерининского времени. В 1787 г. римский император присвоил ему графский титул, а Павел возвел его в княжеское достоинство, назначив на должность канцлера. За большие заслуги и достижения в области внешней политики он награждался землями, крестьянами, орденами. В 1791 г. за примирение с Портой был удостоен ордена Андрея Первозванного. В 1793 г. он держал венец на свадьбе великого князя Александра Павловича, а в 1797 г., по случаю коронации Павла Петровича, по выражению одной из современниц, «был награжден целым состоянием». Подобно своим, столь же богатым и именитым современникам, Безбородко увлекся собирательством произведений искусства. Купленный им в 1783 г. дом на Новоисаакиевской (Почтамтской) улице талантом архитектора Джакомо Кваренги (1744-1817) был превращен в роскошный дворец, куда стекались картины из Франции, Италии, Польши. Собирательской деятельности Безбородко способствовало принятие его в 1794 г. в «почетные худо-",научный,Культура
"Основная проблема, связанная с использованием понятия канона применительно к архитектуре православного храма, состоит в неоднозначном и разнокачественном понимании данного определения богословами, учеными и зодчими. Такие словосочетания, как *архитек-тура храма канонична», «архитектура храма неканонична», *архитектурный канон», «канон в архитектуре храма» часто встречаются в архитектурных кругах при оценке архитектуры православных храмов. Они употребляются на стадии обсуждения проектов, при строительстве храмов и, конечно, при восприятии и анализе построенного сооружения специалистами-ар-хитекторами и общественностью, без сомнения в действительности их существования, но и без выявления точного смыслового наполнения. Правомерно ли вообще использовать понятие канона применительно к архитектуре храма? И если да, то каково его содержание?

В нашем исследовании был поставлен вопрос: «Сформулирован ли канон применительно к архитектуре храма в виде свода правил и требований специалистами-архитекторами и богословами?» Научный поиск не дал на него однозначного ответа. Вопрос канона применительно к архитектуре православного храма является малоизученным. Информация о нем, в отличие от трактовок канона в изобразительном искусстве, носит разрозненный характер. Воп-

росом канона в архитектуре храма занимался А. С. Щенков в монографии «Об иконографии и тектонике православного храма», главным образом рассматривая интерьер храма [1]. И. Л. Бусева-Давыдова поднимает проблему наличия канона относительно архитектуры храма в церковных источниках и говорит о необходимости более подробного обзора и систематизации трудов Церкви для решения данного вопроса [2]. Многие исследователи употребляют слово «канон», «главные канонические основы построения церквей» относительно архитектуры храма, но без раскрытия его содержания и конкретных ссылок на источники. Немногие современные ученые, такие как А. Ю. Майниче-ва, Я. Л. Шаболдин, И. Л. Ильмуратова и др. [3, 4,5], предлагают собственную интерпретацию канона в архитектуре храма. Не обнаружено ни одного комплексного исследования по данному вопросу в целом. Можно сделать вывод о том, что некорректное употребление термина и ссылка на некий, по-разному интерпретируемый канон говорит об отсутствии сводного обобщающего взгляда на проблему.

Богословское понимание канона в архитектуре православного храма

Наиболее общее значение канона (греч. «норма, правило») трактуется как свод положений, носящих нормативный характер [6, с. 80]. Применительно к церковным искусствам и церковной жизни в целом каноном на-

зываются все постановления Церкви, касающиеся вероучения, церковного устройства и ",научный,Культура
"3 января в Доме культуры «Соболевский» прошел праздничный концерт «Новогодний серпантин».
Свою яркую концертную программу подарили зрителям творческие коллективы Дома культуры. В завершении мероприятия каждый получил массу отличных впечатлений, заряд бодрости и чудесного настроения!

 

 

 

 

 

2 января в Доме культуры «Соболевский» была проведена танцевально-развлекательная программа для детей «Бумажный бум».
Безудержное веселье и чудесное настроение.Взрыв радости, смеха и танцев. В этот день ребята с удовольствием принимали участие в веселых танцевальных конкурсах.Программа «Бумажный бум» подарила детям хорошее настроение и море позитива.

 

25 декабря в Доме культуры «Соболевский» в украшенном зале проведена новогодняя ёлка  ❄🎄по мотивам сказки «Алиса в стране чудес».В программе были танцы, песни, игры с героями Алисой,Шляпником,Кроликом и Чеширским котом.
Настоящим сюрпризом для ребят стало шоу мыльных пузырей - огромных и маленьких, круглых и овальных. После представления дети  читали стихи, пели песни Деду Морозу и Снегурочке и героям сказки, фотографировались со всеми персонажами представления. Дети получили массу положительных эмоций и долгожданные подарки от Деда Мороза.

 

 

 

1 декабря на площади Дома культуры «Соболевский» состоялась интерактивная программа
""Засверкай,огнями ёлка!""  🎄❄
В честь зажжения огней на новогодней ёлке.
В 16:00 свершилось настоящее чудо.Сказочные герои играли в зимние игры, танцевали новогодний флеш-моб.
Детишки и взрослые побывали в мире новогоднего волшебства а после зажжения огней на ёлочке водили хоровод.

 


4 ноября вся Россия отмечает День народного единства. Этот день занимает особое место среди государственных праздников современной России.
Подвигу наших предков, которые под предводительством Кузьмы Минина и Дмитрия Пожарского, объединились, спасли и сохранили страну, сделали возможным её будущее возрождение,посвящена акция «Единство-это сила!» которая прошла 4 ноября на площади Дома культуры «Соболевский».",официально-деловой,Культура
"Отчёты по мероприятиям 2020-2022
30.12.2022 Юные среднеканцы приняли участие в новогоднем конкурсе









В середине декабря специалисты Дома культуры запустили новогодний конкурс под названием ""Новогодний костюм"". В творческом конкурсе могли принять участие все желающие. К участию в конкурсе принимались видеофайлы участников с представлением новогоднего костюма. Заявок поступило не мало, особенно от самых маленьких жителей района. Уже 3 января специалисты ДК  подведут итоги конкурса в прямом эфире.

 

 

28.12.2022 Новогодние персонажи поздравили детей района с наступающим Новым годом!









Новый год самый любимый, добрый, сказочный праздник, который ждут в каждом доме, в каждой семье. Новый год – всегда ожидание чуда, волшебных превращений, приключений и удивительных перемен. В преддверии новогодних праздников специалисты Дома культуры поселка Сеймчан поздравили маленьких жителей района с наступающим Новым годом. Дед Мороз со Снегурочкой добрались в эти дни к каждому ребенку, который ожидал их. Небольшое театрализованное представление, организованное сказочными героями, не оставило без смеха и радости не одну семью. Это было необычно, и привело всех в восторг.

 

23.12.2022 Специалисты ДК провели поздравительную акцию для населения

 



23 декабря в преддверии Нового года специалисты Дома культуры провели новогоднею акцию «Сладкое угощение», поздравляя жителей и гостей Среднеканского района с наступающим Новым годом. Символы уходящего и приходящего года с  искренними пожеланиями благополучия, здоровья, счастья   и  долголетия   вручили   новогодние  открытки и сладкие пироги. Все получили  массу  положительных  эмоций   и  хорошее  предновогоднее   настроение. 

 

 

19.12.2022 В ДК прошло мероприятие в рамках проекта «Культура для школьников»





В рамках проекта «Культура для школьников» в ДК села В-Сеймчан был проведен мастер-класс «Русские узоры». Ведущая мероприятия познакомила ребят с народными росписями, которые широко используются в оформлении предметов быта, одежды и т. п. Русские мотивы-цветы, птицы, листья, ягоды - прекрасно подходят и для вырезания из бумаги, и для цветных аппликаций. Затем ребята сами приняли участие в изготовлении и оформлении узоров, используя подручные материалы.",официально-деловой,Культура
"Отчет о работе учреждений культуры Красносулинского района за 1-ое полугодие 2019 года
12 июля 2019
 509
Версия для печати
otchet_350_fitted_to_width.jpg

Организация
Отдел культуры и искусства Красносулинского района
Поделиться
Мероприятия, проводимые учреждениями культуры в 1-ом полугодии 2019г., проходили в рамках Года театра в России, Года народного творчества в Ростовской области. Разработанные планы мероприятий включали в себя востребованные поселениями формы работы, такие как: тематические вечера, торжественные чествования, выставки, акции, юбилеи, развлекательные, познавательные программы и другое.

Во всех учреждениях культуры Красносулинского района, традиционно красочно и интересно прошли новогодние и рождественские мероприятия. Специалисты учреждений культуры использовали разнообразные формы работы, такие как: театрализованные представления, обряды, вечера отдыха, посиделки, конкурсно-игровые программы, фольклорные праздники, выставки декоративно-прикладного искусства.

Так, для детей, во всех учреждениях культуры района, были проведены детские театрализованные сказки, представления, массовки у елки, утренники, поздравления Деда Мороза и Снегурочки. В Районном Дворце культуры прошли новогоднии массовки у елки «В поисках новогодних чудес», театрализованное представление «Сказка старого фонаря», работала резиденция Деда Мороза.

Одно из зрелищных мероприятий, которое проходило во всех учреждениях культуры «Рождественские колядки», в которых принимали участие фольклорные творческие коллективы, а так же мастера декоративно-прикладного искусства. В Районном Дворце культуры прошел вечер отдыха с участием творческой интеллигенции «Рождественские встречи». Новогодние, рождественские праздники были подготовлены и проведены для разновозрастной категории населения.

",официально-деловой,Культура
"Москва
«Настройки-3» в «ГЭС-2»
До 12 марта


Штраус/Шёнберг
© Даниил Анненков
В «ГЭС-2» проходит третья часть проекта «Настройки», продолжающая выстраивать связи между музыкой, визуальным искусством и архитектурой. В этот раз в галереях на минус первом этаже построили семь павильонов, рассчитанных на индивидуальный, камерный опыт взаимодействия с искусством. В основе сюжетов — семь знаковых сочинений композиторов XII–XX веков. Например, можно заглянуть в музыкальную гостиную с «Императорским вальсом» Штрауса, студию звукозаписи Бетховена и тревожное пространство, окутанное «Вариациями» Шумана. Звук дополняют работы художников XX–XXI веков: Михаила Врубеля, Фрэнсиса Бэкона, Франсиско Инфанте-Араны, Ивана Чуйкова и других.

Подробнее на Афише
«Дягилев. Генеральная репетиция» в Новой Третьяковке
До 12 марта


© Государственная Третьяковская галерея
В Новой Третьяковке завершается выставка о Сергее Дягилеве — импресарио и создателе знаменитых «Русских балетов». Это своего рода генеральная репетиция будущего зала Дягилева, для которого несколько лет назад музей приобрел в Великобритании коллекцию оригинальных сценических костюмов, созданных по проектам Александра Головина, Льва Бакста, Наталии Гончаровой и Николая Рериха. Помимо них, на выставке показывают фотографии балетных спектаклей и репетиций, а также более 200 графических работ — эскизы костюмов и декораций, портреты хореографов Леонида Мясина, Сержа Лифаря, Михаила Фокина и знаменитых этуалей Тамары Карсавиной, Ольги Спесивцевой, Анны Павловой и Ирины Бароновой из коллекции Михаила Ларионова.

Подробнее на Афише«Всеобщий язык» в ГМИИ им. Пушкина
До 19 марта


Нидерландский мастер. Разрушение Вавилонской башни
© ГМИИ им. А.С.Пушкина
В основе выставки в Пушкинском музее — библейский сюжет о Вавилонской башне, во время строительства которой люди утратили единый язык. На ней собрали живопись, книги и разные артефакты из коллекции ГМИИ и еще двадцати российских собраний. Эти экспонаты — от египетских папирусов до частной переписки Нового времени — свидетельствуют о попытках отдельных личностей и целых народов договориться между собой. А также рассказывают о языковом многообразии и объединении людей с помощью дипломатии, религии, географических открытий и путешествий. И это исследование форм человеческого общения сегодня звучит особенно актуально.",публицистический,Культура
"Выбрали главные сериалы грядущего сезона. Среди них новые проекты Мела Брукса, Дональда Гловера, Скотта З.Бернса, Деймона Линделофа, Стивена Найта, Арнольда Шварценеггера и Риз Уизерспун. В конце — список-напоминание с датами ожидаемых возвращений («Тед Лассо»! «Шершни»! «Барри»! «Удивительная миссис Мейзел»!).
«Король и Шут»
2 марта, «Кинопоиск»


Жанр
Музыкальный байопик, который мы заслужили. Без всякой иронии.

О чем
История восхождения к народной славе Горшка и Князя из хоррор-панк-группы «Король и Шут», где реалистичное повествование переплетается со сказочными фантазиями, где оживают персонажи песен.

Кто в титрах
Постановщик — режиссер фэнтези «Скиф» Рустам Мосафир, в главных ролях — свежие лица, зато камео удостоились Александр Баширов (играет самого себя), Евгений Ткачук (играет Шута) и сам Андрей Князев (также выступил продюсером).

ПОДРОБНОСТИ ПО ТЕМЕ
«Из смешного легко сделать ужасное»: режиссер Рустам Мосафир — он снимет сериал про «КиШ»
«Дейзи Джонс и The Six» («Daisy Jones & The Six»)
3 марта, Amazon Prime Video


Жанр
Музыкальный байопик, который заслужили фанаты рока 70-х.

О чем
Вымышленная рок-группа, аккуратно списанная с Fleetwood Mac, добивается первой строчки в чартах с дебютным синглом, едет в стадионный тур и, как это часто бывает, распадается на пике славы.

Кто в титрах
В главных ролях — Райли Кио (внучка Элвиса) и Сэм Клафлин (лидер фашистов из «Острых козырьков»). Половину сезона поставил самый пряничный из современных американских инди-режиссеров Джеймс Понсольдт («Захватывающее время», «Конец тура»), который и здесь, надо думать, все превратит скорее в слащавую мелодраму, а не в приговор эпохе в духе «Почти знаменит».

«Всемирная история: Часть II» («History of the World: Part II»)
6 марта, Hulu


Жанр
Кринжовое дуракаваляние для умниц.

О чем
Классический альманах «Всемирная история: Часть I», издевающийся над историческими героями, остановился на Моисее и Гитлере, а в продолжении очередь сыпать анахронизмами наступила для Фрейда, Марко Поло и Иисуса.

Кто в титрах
96-летний Мел Брукс возвращается. Он, как ни удивительно, указан и создателем, и сценаристом, и продюсером, и актером нового сериала, но есть подозрение, что Брукс здесь все-таки свадебный генерал: в трейлере, например, появляется лишь в качестве самого себя, а все основные роли передает современным комедиантам. Список камео знаменитостей даже начинать перечислять нет смысла — тут есть примерно все, кто когда‑либо появлялся в «Saturday Night Live» и комедиях Джадда Апатоу. Капустник как он есть, однако капустник в компании живой легенды Брукса все-таки дорогого стоит.",публицистический,Культура
"Кембриджский университет изучил результаты крупнейшего эксперимента по введению четырехдневной рабочей недели. Полгода работники 61 компании в Великобритании отдыхали на день больше. В результате это оказалось полезно не только для сотрудников, но и для бизнеса. «Афиша Daily» разобралась, действительно ли за четырехдневкой будущее.
Когда все началось?
Началом тренда называют 1965 год, когда четырехдневную рабочую неделю ввела британская Roundpay Metal Finishers. Подобные эксперименты, конечно, проводились и раньше, но эта компания первая публично рассказала о своих результатах: расходы на энергию и воду сократились, повысив чистую прибыль, а работники стали чувствовать себя лучше.

Пять лет назад эту систему стали активно обсуждать во всем мире. В 2018 году популяризацией идеи занялся новозеландский некоммерческий проект 4 Day Week Global. Организация призывает компании в разных странах присоединяться к эксперименту по введению четырехдневной рабочей недели. Они выдают работодателям методички о том, как организовать этот процесс, а в случае трудностей 4 Day Week Global подключает экспертов, которые помогают разобраться с ними.

Первой в рамках проекта на четырехдневку перешла новозеландская трастовая компания Perpetual Guardian по инициативе ее главы Эндрю Барнса (он же — сооснователь 4 Day Week Global). Организация выделила работникам дополнительный выходной, но оставила прежнюю зарплату и количество рабочих часов в день. По итогам эксперимента повысилась производительность, работники стали лучше себя чувствовать, наладили баланс между работой и жизнью, а выручка осталась на прежнем уровне. Чистая прибыль при этом повысилась, поскольку сократились затраты на электроэнергию. К пятидневке Perpetual Guardian уже не вернулась.

Сейчас 4 Day Week Global сотрудничает с Центром исследования благополучия при Оксфордском университете, Уортонской школой бизнеса при Пенсильванском университете, Гарвардской школой бизнеса, Бостонским колледжем и Кембриджским университетом. Исследователи анализируют результаты экспериментов и помогают разрабатывать план перехода на четырехдневку.

Популярность четырехдневной рабочей недели начала расти во время пандемии. Во-первых, сотрудники могут отдыхать в разные дни, таким образом снижая количество контактов. Во-вторых, ученые говорят, что пандемия заставила всех осознать важность здоровья, в том числе ментального, а четырехдневка как минимум помогает снизить уровень стресса.",публицистический,Культура
"Господа! А нельзя ли в рамках нового закона заменить текст: Open - coll на российский аналог! Совсем забываем русский язык с этими англицизмами... 😃😃😃😃😃
Вот такая культура у нас - биеннале,Open - coll,urban+art...Совсем забыли родной язык😏
Елена, Видимо, из русского языка нам вполне должно хватить ""артмоссферы"" )))))
вы вообще о чем?
Культура, вы там не охренели? Где русский язык? 😡😡😡😡😡😡
Не умирающий фильм! Сколько раз смотрел и всегда с удовольствием...Брво режиссёру! Брависсимо всем актёрам!!!!
За месяц раз пять уже показывали...и Служебный роман, и Иван Васильевич меняет профессию...
Алла, и? Потому что нового ничего похожего нет... Разве можно сравнить перечисленные Вами фильмы с ""Фишером""?
Короче Склихосовский...
Никогда не надоест, подобные фильмы на все времена, актёры которых никогда не забудут.
Интересно,а как на Кавказе народ относится к этому фильму?Любят его смотреть?
Пушкин много путешествовал и делал зарисовки.
сегодня 10 марта день рождения певицы нэнэ черри. 59 лет. крутой рэпперши и альтернативщицы
Красивая картина!
хорошие картины
Эх..
Андрей Александрович, как нам Вас сейчас не хватает..
и ещё многих, многих, из плеяды Великих Артистов, уходящей эпохи Нашего кино..
Ой, как раз сегодня посмотрела фильм с его участием — ""Сказка странствий"". Очень хорошая кинолента, да и Андрей Александрович отлично справился со своей ролью! Светлая память великолепному актёру 🙏🏻
 замечательный фильм
 Светлая память !!! Великий артист
 Вот какой замечательный был подарок для мамы
Спасибо! Весьма любопытно! Даже ""открытие"" для себя сделала - "" запустить ежа..."" - не слышала и не читала!
Я училась в школе для одаренных детей в Академгородке. Не помню, чтобы нас называли ежами...
",разговорный,Культура
